Date,2.9.0,2.9.0 daily return,2.9.0 cumulative return,2.9.0 drawdown,S&P 500,S&P 500 daily return,S&P 500 cumulative return,S&P 500 drawdown,,Key Statistics (2004-02-12 to 2023-02-28),,,,,,,,,,,,,
2019-11-27,"$2,463,963.31",0.41%,892.88%,0.00%,"$927,514.53",0.45%,273.75%,0.00%,,,,,,,,,,,,,,,
2019-11-29,"$2,455,414.08",-0.35%,889.44%,-0.35%,"$924,074.82",-0.37%,272.37%,-0.37%,,,,,,,,,,,,,,,
2019-12-02,"$2,434,118.97",-0.87%,880.86%,-1.23%,"$916,225.14",-0.85%,269.20%,-1.23%,,,,,,,,,,,,,,,
2019-12-03,"$2,429,144.87",-0.20%,878.85%,-1.43%,"$910,080.59",-0.67%,266.73%,-1.92%,,,,,,,,,,,,,,,
2019-12-04,"$2,439,056.07",0.41%,882.85%,-1.02%,"$915,696.14",0.62%,268.99%,-1.29%,,,,,,,,,,,,,,,
2019-12-05,"$2,437,780.12",-0.05%,882.33%,-1.07%,"$917,342.67",0.18%,269.65%,-1.11%,,,,,,,,,,,,,,,
2019-12-06,"$2,456,594.47",0.77%,889.92%,-0.30%,"$925,721.65",0.91%,273.03%,-0.19%,,,,,,,,,,,,,,,
2019-12-09,"$2,450,479.68",-0.25%,887.45%,-0.55%,"$922,810.93",-0.31%,271.86%,-0.51%,,,,,,,,,,,,,,,
2019-12-10,"$2,450,823.83",0.01%,887.59%,-0.54%,"$921,781.77",-0.11%,271.44%,-0.62%,,,,,,,,,,,,,,,
2019-12-11,"$2,458,850.76",0.33%,890.82%,-0.21%,"$924,398.23",0.28%,272.50%,-0.34%,,,,,,,,,,,,,,,
2019-12-12,"$2,465,424.75",0.27%,893.47%,0.00%,"$932,365.74",0.86%,275.71%,0.00%,,,,,,,,,,,,,,,
2019-12-13,"$2,457,304.85",-0.33%,890.20%,-0.33%,"$932,924.19",0.06%,275.93%,0.00%,,,,,,,,,,,,,,,
2019-12-16,"$2,471,544.60",0.58%,895.94%,0.00%,"$939,333.55",0.69%,278.52%,0.00%,,,,,,,,,,,,,,,
2019-12-17,"$2,483,468.25",0.48%,900.74%,0.00%,"$939,539.44",0.02%,278.60%,0.00%,,,,,,,,,,,,,,,
2019-12-18,"$2,497,422.06",0.56%,906.37%,0.00%,"$939,598.35",0.01%,278.62%,0.00%,,,,,,,,,,,,,,,
2019-12-19,"$2,498,558.34",0.05%,906.83%,0.00%,"$943,449.86",0.41%,280.17%,0.00%,,,,,,,,,,,,,,,
2019-12-20,"$2,513,771.65",0.61%,912.96%,0.00%,"$947,565.86",0.44%,281.83%,0.00%,,,,,,,,,,,,,,,
2019-12-23,"$2,507,568.18",-0.25%,910.46%,-0.25%,"$949,013.62",0.15%,282.42%,0.00%,,,,,,,,,,,,,,,
2019-12-24,"$2,510,057.01",0.10%,911.46%,-0.15%,"$949,043.08",0.00%,282.43%,0.00%,,,,,,,,,,,,,,,
2019-12-26,"$2,515,125.12",0.20%,913.50%,0.00%,"$954,095.22",0.53%,284.46%,0.00%,,,,,,,,,,,,,,,
2019-12-27,"$2,506,393.40",-0.35%,909.98%,-0.35%,"$953,858.93",-0.02%,284.37%,-0.02%,,,,,,,,,,,,,,,
2019-12-30,"$2,498,804.95",-0.30%,906.92%,-0.65%,"$948,599.98",-0.55%,282.25%,-0.58%,,,,,,,,,,,,,,,
2019-12-31,"$2,503,062.72",0.17%,908.64%,-0.48%,"$950,904.49",0.24%,283.18%,-0.34%,,,,,,,,,,,,,,,
2020-01-02,"$2,497,720.66",-0.21%,906.49%,-0.70%,"$959,797.28",0.94%,286.76%,0.00%,,,,,,,,,,,,,,,
2020-01-03,"$2,489,062.22",-0.35%,903.00%,-1.05%,"$952,529.31",-0.76%,283.83%,-0.76%,,,,,,,,,,,,,,,
2020-01-06,"$2,487,380.81",-0.07%,902.32%,-1.12%,"$956,163.14",0.38%,285.30%,-0.38%,,,,,,,,,,,,,,,
2020-01-07,"$2,481,517.42",-0.24%,899.96%,-1.35%,"$953,474.75",-0.28%,284.21%,-0.66%,,,,,,,,,,,,,,,
2020-01-08,"$2,483,674.46",0.09%,900.83%,-1.27%,"$958,556.34",0.53%,286.26%,-0.13%,,,,,,,,,,,,,,,
2020-01-09,"$2,484,598.36",0.04%,901.20%,-1.23%,"$965,055.93",0.68%,288.88%,0.00%,,,,,,,,,,,,,,,
2020-01-10,"$2,482,148.65",-0.10%,900.21%,-1.33%,"$962,278.85",-0.29%,287.76%,-0.29%,,,,,,,,,,,,,,,
2020-01-13,"$2,502,507.93",0.82%,908.42%,-0.50%,"$968,896.58",0.69%,290.43%,0.00%,,,,,,,,,,,,,,,
2020-01-14,"$2,508,796.35",0.25%,910.95%,-0.25%,"$967,419.36",-0.15%,289.83%,-0.15%,,,,,,,,,,,,,,,
2020-01-15,"$2,520,850.87",0.48%,915.81%,0.00%,"$969,605.73",0.23%,290.71%,0.00%,,,,,,,,,,,,,,,
2020-01-16,"$2,516,808.54",-0.16%,914.18%,-0.16%,"$977,671.22",0.83%,293.96%,0.00%,,,,,,,,,,,,,,,
2020-01-17,"$2,516,296.34",-0.02%,913.97%,-0.18%,"$980,714.35",0.31%,295.19%,0.00%,,,,,,,,,,,,,,,
2020-01-21,"$2,517,402.01",0.04%,914.42%,-0.14%,"$978,794.02",-0.20%,294.42%,-0.20%,,,,,,,,,,,,,,,
2020-01-22,"$2,519,054.34",0.07%,915.08%,-0.07%,"$978,912.16",0.01%,294.46%,-0.18%,,,,,,,,,,,,,,,
2020-01-23,"$2,528,825.79",0.39%,919.02%,0.00%,"$980,034.96",0.11%,294.92%,-0.07%,,,,,,,,,,,,,,,
2020-01-24,"$2,508,833.53",-0.79%,910.97%,-0.80%,"$971,319.54",-0.89%,291.41%,-0.97%,,,,,,,,,,,,,,,
2020-01-27,"$2,495,269.35",-0.54%,905.50%,-1.34%,"$955,749.80",-1.60%,285.13%,-2.61%,,,,,,,,,,,,,,,
2020-01-28,"$2,513,883.81",0.75%,913.00%,-0.59%,"$965,765.08",1.05%,289.17%,-1.55%,,,,,,,,,,,,,,,
2020-01-29,"$2,501,621.49",-0.49%,908.06%,-1.09%,"$964,967.24",-0.08%,288.85%,-1.63%,,,,,,,,,,,,,,,
2020-01-30,"$2,500,604.78",-0.04%,907.65%,-1.13%,"$968,099.05",0.32%,290.11%,-1.30%,,,,,,,,,,,,,,,
2020-01-31,"$2,459,656.11",-1.64%,891.15%,-2.81%,"$950,520.30",-1.82%,283.02%,-3.18%,,,,,,,,,,,,,,,
2020-02-03,"$2,476,790.34",0.70%,898.05%,-2.10%,"$957,581.45",0.74%,285.87%,-2.42%,,,,,,,,,,,,,,,
2020-02-04,"$2,486,442.43",0.39%,901.94%,-1.70%,"$972,176.29",1.52%,291.75%,-0.88%,,,,,,,,,,,,,,,
2020-02-05,"$2,516,246.36",1.20%,913.95%,-0.50%,"$983,403.05",1.15%,296.27%,0.00%,,,,,,,,,,,,,,,
2020-02-06,"$2,515,774.71",-0.02%,913.76%,-0.52%,"$986,711.92",0.34%,297.61%,0.00%,,,,,,,,,,,,,,,
2020-02-07,"$2,492,724.08",-0.92%,904.47%,-1.45%,"$981,452.96",-0.53%,295.49%,-0.54%,,,,,,,,,,,,,,,
2020-02-10,"$2,508,383.50",0.63%,910.78%,-0.81%,"$988,779.84",0.75%,298.44%,0.00%,,,,,,,,,,,,,,,
2020-02-11,"$2,531,469.05",0.92%,920.09%,0.00%,"$990,493.34",0.17%,299.13%,0.00%,,,,,,,,,,,,,,,
2020-02-12,"$2,541,413.63",0.39%,924.09%,0.00%,"$996,874.79",0.64%,301.70%,0.00%,,,,,,,,,,,,,,,
2020-02-13,"$2,547,166.90",0.23%,926.41%,0.00%,"$995,811.21",-0.11%,301.27%,-0.11%,,,,,,,,,,,,,,,
2020-02-14,"$2,543,046.88",-0.16%,924.75%,-0.16%,"$997,406.58",0.16%,301.92%,0.00%,,,,,,,,,,,,,,,
2020-02-18,"$2,544,073.37",0.04%,925.17%,-0.12%,"$994,836.32",-0.26%,300.88%,-0.26%,,,,,,,,,,,,,,,
2020-02-19,"$2,539,073.86",-0.20%,923.15%,-0.32%,"$999,592.95",0.48%,302.80%,0.00%,,,,,,,,,,,,,,,
2020-02-20,"$2,541,505.21",0.10%,924.13%,-0.22%,"$995,486.25",-0.41%,301.14%,-0.41%,,,,,,,,,,,,,,,
2020-02-21,"$2,544,414.14",0.11%,925.30%,-0.11%,"$985,234.38",-1.03%,297.01%,-1.46%,,,,,,,,,,,,,,,
2020-02-24,"$2,489,489.92",-2.16%,903.17%,-2.32%,"$952,558.77",-3.32%,283.85%,-4.94%,,,,,,,,,,,,,,,
2020-02-25,"$2,413,561.25",-3.05%,872.57%,-5.54%,"$923,694.35",-3.03%,272.21%,-8.22%,,,,,,,,,,,,,,,
2020-02-26,"$2,387,016.99",-1.10%,861.88%,-6.71%,"$920,296.80",-0.37%,270.85%,-8.62%,,,,,,,,,,,,,,,
2020-02-27,"$2,319,936.08",-2.81%,834.85%,-9.79%,"$878,964.68",-4.49%,254.19%,-13.72%,,,,,,,,,,,,,,,
2020-02-28,"$2,278,696.44",-1.78%,818.23%,-11.78%,"$875,271.63",-0.42%,252.70%,-14.20%,,,,,,,,,,,,,,,
2020-03-02,"$2,364,983.85",3.79%,853.00%,-7.70%,"$913,176.74",4.33%,267.98%,-9.46%,,,,,,,,,,,,,,,
2020-03-03,"$2,318,931.44",-1.95%,834.44%,-9.84%,"$887,030.17",-2.86%,257.44%,-12.69%,,,,,,,,,,,,,,,
2020-03-04,"$2,410,030.37",3.93%,871.15%,-5.69%,"$924,314.82",4.20%,272.46%,-8.14%,,,,,,,,,,,,,,,
2020-03-05,"$2,364,663.84",-1.88%,852.87%,-7.72%,"$893,588.99",-3.32%,260.08%,-11.86%,,,,,,,,,,,,,,,
2020-03-06,"$2,329,510.38",-1.49%,838.71%,-9.34%,"$878,817.08",-1.65%,254.13%,-13.74%,,,,,,,,,,,,,,,
2020-03-09,"$2,162,953.65",-7.15%,771.59%,-17.76%,"$810,186.14",-7.81%,226.47%,-23.38%,,,,,,,,,,,,,,,
2020-03-10,"$2,199,198.65",1.68%,786.19%,-15.82%,"$852,109.27",5.17%,243.37%,-17.31%,,,,,,,,,,,,,,,
2020-03-11,"$2,082,446.36",-5.31%,739.15%,-22.32%,"$810,570.33",-4.87%,226.63%,-23.32%,,,,,,,,,,,,,,,
2020-03-12,"$1,856,533.66",-10.85%,648.11%,-37.20%,"$733,017.14",-9.57%,195.38%,-36.37%,,,,,,,,,,,,,,,
2020-03-13,"$1,982,018.00",6.76%,698.68%,-28.51%,"$795,679.97",8.55%,220.63%,-25.63%,,,,,,,,,,,,,,,
2020-03-16,"$1,727,277.95",-12.85%,596.03%,-47.47%,"$708,613.84",-10.94%,185.54%,-41.06%,,,,,,,,,,,,,,,
2020-03-17,"$1,790,741.05",3.67%,621.60%,-42.24%,"$746,873.37",5.40%,200.96%,-33.84%,,,,,,,,,,,,,,,
2020-03-18,"$1,592,981.86",-11.04%,541.91%,-59.90%,"$709,056.94",-5.06%,185.72%,-40.97%,,,,,,,,,,,,,,,
2020-03-19,"$1,657,635.99",4.06%,567.97%,-53.66%,"$710,563.62",0.21%,186.33%,-40.68%,,,,,,,,,,,,,,,
2020-03-20,"$1,578,146.25",-4.80%,535.93%,-61.40%,"$680,120.27",-4.28%,174.06%,-46.97%,,,,,,,,,,,,,,,
2020-03-23,"$1,511,238.91",-4.24%,508.97%,-68.55%,"$662,730.98",-2.56%,167.06%,-50.83%,,,,,,,,,,,,,,,
2020-03-24,"$1,647,601.00",9.02%,563.92%,-54.60%,"$722,776.74",9.06%,191.25%,-38.30%,,,,,,,,,,,,,,,
2020-03-25,"$1,681,926.19",2.08%,577.75%,-51.44%,"$733,596.99",1.50%,195.61%,-36.26%,,,,,,,,,,,,,,,
2020-03-26,"$1,791,508.86",6.52%,621.91%,-42.18%,"$776,431.44",5.84%,212.87%,-28.74%,,,,,,,,,,,,,,,
2020-03-27,"$1,740,778.39",-2.83%,601.47%,-46.32%,"$753,305.05",-2.98%,203.55%,-32.69%,,,,,,,,,,,,,,,
2020-03-30,"$1,781,302.82",2.33%,617.80%,-42.99%,"$777,769.13",3.25%,213.41%,-28.52%,,,,,,,,,,,,,,,
2020-03-31,"$1,764,228.42",-0.96%,610.92%,-44.38%,"$766,176.17",-1.49%,208.74%,-30.47%,,,,,,,,,,,,,,,
2020-04-01,"$1,644,417.71",-6.79%,562.64%,-54.90%,"$731,694.64",-4.50%,194.85%,-36.61%,,,,,,,,,,,,,,,
2020-04-02,"$1,661,797.44",1.06%,569.64%,-53.28%,"$748,578.81",2.31%,201.65%,-33.53%,,,,,,,,,,,,,,,
2020-04-03,"$1,607,818.08",-3.25%,547.89%,-58.42%,"$737,758.57",-1.45%,197.29%,-35.49%,,,,,,,,,,,,,,,
2020-04-06,"$1,741,268.63",8.30%,601.67%,-46.28%,"$787,310.91",6.72%,217.26%,-26.96%,,,,,,,,,,,,,,,
2020-04-07,"$1,769,709.94",1.63%,613.13%,-43.93%,"$788,113.40",0.10%,217.58%,-26.83%,,,,,,,,,,,,,,,
2020-04-08,"$1,858,301.62",5.01%,648.83%,-37.07%,"$814,569.12",3.36%,228.24%,-22.71%,,,,,,,,,,,,,,,
2020-04-09,"$1,916,890.15",3.15%,672.43%,-32.88%,"$826,964.57",1.52%,233.24%,-20.87%,,,,,,,,,,,,,,,
2020-04-13,"$1,884,035.57",-1.71%,659.20%,-35.20%,"$819,414.43",-0.91%,230.19%,-21.99%,,,,,,,,,,,,,,,
2020-04-14,"$1,919,845.62",1.90%,673.63%,-32.68%,"$843,581.45",2.95%,239.93%,-18.49%,,,,,,,,,,,,,,,
2020-04-15,"$1,871,268.26",-2.53%,654.05%,-36.12%,"$825,656.96",-2.12%,232.71%,-21.07%,,,,,,,,,,,,,,,
2020-04-16,"$1,882,449.21",0.60%,658.56%,-35.31%,"$829,640.25",0.48%,234.31%,-20.49%,,,,,,,,,,,,,,,
2020-04-17,"$1,925,228.86",2.27%,675.80%,-32.30%,"$852,053.45",2.70%,243.35%,-17.32%,,,,,,,,,,,,,,,
2020-04-20,"$1,898,184.52",-1.40%,664.90%,-34.19%,"$837,042.17",-1.76%,237.30%,-19.42%,,,,,,,,,,,,,,,
2020-04-21,"$1,868,500.98",-1.56%,652.94%,-36.32%,"$811,626.77",-3.04%,227.06%,-23.16%,,,,,,,,,,,,,,,
2020-04-22,"$1,897,830.47",1.57%,664.75%,-34.21%,"$829,640.56",2.22%,234.31%,-20.49%,,,,,,,,,,,,,,,
2020-04-23,"$1,911,877.55",0.74%,670.42%,-33.23%,"$829,581.02",-0.01%,234.29%,-20.49%,,,,,,,,,,,,,,,
2020-04-24,"$1,937,637.88",1.35%,680.80%,-31.46%,"$841,144.22",1.39%,238.95%,-18.84%,,,,,,,,,,,,,,,
2020-04-27,"$1,987,543.99",2.58%,700.91%,-28.16%,"$853,272.38",1.44%,243.84%,-17.15%,,,,,,,,,,,,,,,
2020-04-28,"$1,996,282.75",0.44%,704.43%,-27.60%,"$849,348.63",-0.46%,242.26%,-17.69%,,,,,,,,,,,,,,,
2020-04-29,"$2,031,291.98",1.75%,718.53%,-25.40%,"$871,583.23",2.62%,251.22%,-14.69%,,,,,,,,,,,,,,,
2020-04-30,"$1,993,103.89",-1.88%,703.15%,-27.80%,"$863,468.12",-0.93%,247.95%,-15.76%,,,,,,,,,,,,,,,
2020-05-01,"$1,944,081.99",-2.46%,683.39%,-31.02%,"$840,609.02",-2.65%,238.73%,-18.91%,,,,,,,,,,,,,,,
2020-05-04,"$1,949,603.30",0.28%,685.62%,-30.65%,"$842,927.49",0.28%,239.67%,-18.59%,,,,,,,,,,,,,,,
2020-05-05,"$1,967,566.22",0.92%,692.86%,-29.46%,"$850,715.46",0.92%,242.81%,-17.50%,,,,,,,,,,,,,,,
2020-05-06,"$1,948,470.87",-0.97%,685.16%,-30.73%,"$844,948.59",-0.68%,240.48%,-18.30%,,,,,,,,,,,,,,,
2020-05-07,"$1,959,731.79",0.58%,689.70%,-29.98%,"$855,144.33",1.21%,244.59%,-16.89%,,,,,,,,,,,,,,,
2020-05-08,"$2,011,719.79",2.65%,710.65%,-26.62%,"$869,293.59",1.65%,250.29%,-14.99%,,,,,,,,,,,,,,,
2020-05-11,"$2,003,817.28",-0.39%,707.46%,-27.12%,"$869,471.89",0.02%,250.36%,-14.97%,,,,,,,,,,,,,,,
2020-05-12,"$1,964,473.20",-1.96%,691.61%,-29.66%,"$852,141.83",-1.99%,243.38%,-17.30%,,,,,,,,,,,,,,,
2020-05-13,"$1,935,158.78",-1.49%,679.80%,-31.63%,"$837,071.01",-1.77%,237.31%,-19.42%,,,,,,,,,,,,,,,
2020-05-14,"$1,930,115.45",-0.26%,677.76%,-31.97%,"$847,088.45",1.20%,241.34%,-18.00%,,,,,,,,,,,,,,,
2020-05-15,"$1,952,696.23",1.17%,686.86%,-30.44%,"$850,982.44",0.46%,242.91%,-17.46%,,,,,,,,,,,,,,,
2020-05-18,"$2,008,814.27",2.87%,709.48%,-26.80%,"$876,902.96",3.05%,253.36%,-13.99%,,,,,,,,,,,,,,,
2020-05-19,"$1,990,428.59",-0.92%,702.07%,-27.97%,"$867,896.06",-1.03%,249.73%,-15.17%,,,,,,,,,,,,,,,
2020-05-20,"$2,016,776.71",1.32%,712.69%,-26.30%,"$882,640.06",1.70%,255.67%,-13.25%,,,,,,,,,,,,,,,
2020-05-21,"$2,006,367.27",-0.52%,708.49%,-26.95%,"$876,546.37",-0.69%,253.22%,-14.04%,,,,,,,,,,,,,,,
2020-05-22,"$2,019,831.20",0.67%,713.92%,-26.11%,"$878,210.88",0.19%,253.89%,-13.82%,,,,,,,,,,,,,,,
2020-05-26,"$2,047,339.84",1.36%,725.00%,-24.41%,"$889,031.12",1.23%,258.25%,-12.44%,,,,,,,,,,,,,,,
2020-05-27,"$2,079,640.17",1.58%,738.02%,-22.48%,"$902,259.13",1.49%,263.58%,-10.79%,,,,,,,,,,,,,,,
2020-05-28,"$2,075,643.88",-0.19%,736.41%,-22.72%,"$900,594.62",-0.18%,262.91%,-10.99%,,,,,,,,,,,,,,,
2020-05-29,"$2,084,860.44",0.44%,740.12%,-22.17%,"$904,607.68",0.45%,264.52%,-10.50%,,,,,,,,,,,,,,,
2020-06-01,"$2,091,545.53",0.32%,742.81%,-21.78%,"$908,263.83",0.40%,266.00%,-10.06%,,,,,,,,,,,,,,,
2020-06-02,"$2,095,668.88",0.20%,744.48%,-21.54%,"$915,784.52",0.83%,269.03%,-9.15%,,,,,,,,,,,,,,,
2020-06-03,"$2,122,854.54",1.30%,755.43%,-19.99%,"$927,971.90",1.33%,273.94%,-7.72%,,,,,,,,,,,,,,,
2020-06-04,"$2,109,205.63",-0.64%,749.93%,-20.76%,"$925,534.36",-0.26%,272.96%,-8.00%,,,,,,,,,,,,,,,
2020-06-05,"$2,133,836.49",1.17%,759.86%,-19.37%,"$949,255.49",2.56%,282.51%,-5.30%,,,,,,,,,,,,,,,
2020-06-08,"$2,167,924.62",1.60%,773.59%,-17.49%,"$960,729.69",1.21%,287.14%,-4.05%,,,,,,,,,,,,,,,
2020-06-09,"$2,153,819.10",-0.65%,767.91%,-18.26%,"$953,565.91",-0.75%,284.25%,-4.83%,,,,,,,,,,,,,,,
2020-06-10,"$2,149,432.98",-0.20%,766.14%,-18.50%,"$948,244.94",-0.56%,282.11%,-5.42%,,,,,,,,,,,,,,,
2020-06-11,"$2,051,759.27",-4.54%,726.78%,-24.15%,"$893,579.68",-5.76%,260.08%,-11.86%,,,,,,,,,,,,,,,
2020-06-12,"$2,051,906.75",0.01%,726.84%,-24.14%,"$904,280.86",1.20%,264.39%,-10.54%,,,,,,,,,,,,,,,
2020-06-15,"$2,086,079.14",1.67%,740.61%,-22.10%,"$912,722.79",0.93%,267.79%,-9.52%,,,,,,,,,,,,,,,
2020-06-16,"$2,106,946.16",1.00%,749.02%,-20.89%,"$930,290.68",1.92%,274.87%,-7.45%,,,,,,,,,,,,,,,
2020-06-17,"$2,104,399.19",-0.12%,747.99%,-21.04%,"$926,426.46",-0.42%,273.32%,-7.90%,,,,,,,,,,,,,,,
2020-06-18,"$2,091,570.82",-0.61%,742.82%,-21.78%,"$926,783.06",0.04%,273.46%,-7.86%,,,,,,,,,,,,,,,
2020-06-19,"$2,089,722.07",-0.09%,742.08%,-21.89%,"$921,510.45",-0.57%,271.33%,-8.47%,,,,,,,,,,,,,,,
2020-06-22,"$2,115,331.89",1.23%,752.40%,-20.41%,"$927,422.13",0.64%,273.72%,-7.78%,,,,,,,,,,,,,,,
2020-06-23,"$2,105,204.21",-0.48%,748.32%,-20.99%,"$931,691.62",0.46%,275.44%,-7.29%,,,,,,,,,,,,,,,
2020-06-24,"$2,072,746.61",-1.54%,735.24%,-22.89%,"$907,925.23",-2.55%,265.86%,-10.10%,,,,,,,,,,,,,,,
2020-06-25,"$2,085,669.22",0.62%,740.45%,-22.13%,"$917,658.64",1.07%,269.78%,-8.93%,,,,,,,,,,,,,,,
2020-06-26,"$2,068,651.30",-0.82%,733.59%,-23.13%,"$895,862.80",-2.38%,261.00%,-11.58%,,,,,,,,,,,,,,,
2020-06-29,"$2,102,531.25",1.64%,747.24%,-21.15%,"$909,029.73",1.47%,266.30%,-9.96%,,,,,,,,,,,,,,,
2020-06-30,"$2,130,088.25",1.31%,758.35%,-19.58%,"$920,673.86",1.28%,271.00%,-8.57%,,,,,,,,,,,,,,,
2020-07-01,"$2,136,032.31",0.28%,760.74%,-19.25%,"$927,122.90",0.70%,273.60%,-7.82%,,,,,,,,,,,,,,,
2020-07-02,"$2,119,806.93",-0.76%,754.20%,-20.16%,"$932,228.37",0.55%,275.65%,-7.23%,,,,,,,,,,,,,,,
2020-07-06,"$2,131,430.95",0.55%,758.89%,-19.51%,"$946,619.50",1.54%,281.45%,-5.60%,,,,,,,,,,,,,,,
2020-07-07,"$2,127,882.17",-0.17%,757.46%,-19.70%,"$936,856.32",-1.03%,277.52%,-6.70%,,,,,,,,,,,,,,,
2020-07-08,"$2,125,984.81",-0.09%,756.69%,-19.81%,"$944,021.96",0.76%,280.41%,-5.89%,,,,,,,,,,,,,,,
2020-07-09,"$2,107,984.16",-0.85%,749.44%,-20.83%,"$938,647.65",-0.57%,278.24%,-6.49%,,,,,,,,,,,,,,,
2020-07-10,"$2,131,416.05",1.11%,758.88%,-19.51%,"$948,231.91",1.02%,282.10%,-5.42%,,,,,,,,,,,,,,,
2020-07-13,"$2,117,343.12",-0.66%,753.21%,-20.30%,"$940,021.30",-0.87%,278.79%,-6.34%,,,,,,,,,,,,,,,
2020-07-14,"$2,162,828.50",2.15%,771.54%,-17.77%,"$952,203.11",1.30%,283.70%,-4.98%,,,,,,,,,,,,,,,
2020-07-15,"$2,187,794.40",1.15%,781.60%,-16.43%,"$960,951.09",0.92%,287.23%,-4.02%,,,,,,,,,,,,,,,
2020-07-16,"$2,194,060.25",0.29%,784.12%,-16.09%,"$957,786.10",-0.33%,285.95%,-4.36%,,,,,,,,,,,,,,,
2020-07-17,"$2,212,284.05",0.83%,791.47%,-15.14%,"$960,562.87",0.29%,287.07%,-4.06%,,,,,,,,,,,,,,,
2020-07-20,"$2,203,737.27",-0.39%,788.02%,-15.58%,"$968,325.72",0.81%,290.20%,-3.23%,,,,,,,,,,,,,,,
2020-07-21,"$2,231,178.66",1.25%,799.08%,-14.16%,"$970,385.89",0.21%,291.03%,-3.01%,,,,,,,,,,,,,,,
2020-07-22,"$2,236,095.93",0.22%,801.06%,-13.91%,"$975,909.35",0.57%,293.25%,-2.43%,,,,,,,,,,,,,,,
2020-07-23,"$2,228,196.71",-0.35%,797.88%,-14.32%,"$964,265.22",-1.19%,288.56%,-3.66%,,,,,,,,,,,,,,,
2020-07-24,"$2,208,655.43",-0.88%,790.01%,-15.33%,"$958,054.94",-0.64%,286.06%,-4.34%,,,,,,,,,,,,,,,
2020-07-27,"$2,227,060.97",0.83%,797.42%,-14.37%,"$965,041.35",0.73%,288.88%,-3.58%,,,,,,,,,,,,,,,
2020-07-28,"$2,224,146.14",-0.13%,796.25%,-14.52%,"$958,920.68",-0.63%,286.41%,-4.24%,,,,,,,,,,,,,,,
2020-07-29,"$2,250,794.08",1.20%,806.99%,-13.17%,"$970,714.27",1.23%,291.16%,-2.97%,,,,,,,,,,,,,,,
2020-07-30,"$2,234,998.63",-0.70%,800.62%,-13.97%,"$967,250.98",-0.36%,289.77%,-3.34%,,,,,,,,,,,,,,,
2020-07-31,"$2,247,736.81",0.57%,805.75%,-13.32%,"$974,894.46",0.79%,292.85%,-2.53%,,,,,,,,,,,,,,,
2020-08-03,"$2,267,166.90",0.86%,813.58%,-12.35%,"$981,671.87",0.70%,295.58%,-1.83%,,,,,,,,,,,,,,,
2020-08-04,"$2,296,890.80",1.31%,825.56%,-10.90%,"$985,463.84",0.39%,297.11%,-1.43%,,,,,,,,,,,,,,,
2020-08-05,"$2,296,427.12",-0.02%,825.37%,-10.92%,"$991,584.51",0.62%,299.57%,-0.81%,,,,,,,,,,,,,,,
2020-08-06,"$2,298,467.64",0.09%,826.20%,-10.82%,"$998,212.78",0.67%,302.24%,-0.14%,,,,,,,,,,,,,,,
2020-08-07,"$2,325,617.52",1.18%,837.14%,-9.53%,"$998,929.38",0.07%,302.53%,-0.07%,,,,,,,,,,,,,,,
2020-08-10,"$2,344,470.35",0.81%,844.73%,-8.65%,"$1,001,915.14",0.30%,303.73%,0.00%,,,,,,,,,,,,,,,
2020-08-11,"$2,304,263.46",-1.71%,828.53%,-10.54%,"$993,644.69",-0.83%,300.40%,-0.83%,,,,,,,,,,,,,,,
2020-08-12,"$2,331,973.39",1.20%,839.70%,-9.23%,"$1,007,498.44",1.39%,305.98%,0.00%,,,,,,,,,,,,,,,
2020-08-13,"$2,331,124.84",-0.04%,839.36%,-9.27%,"$1,005,677.03",-0.18%,305.25%,-0.18%,,,,,,,,,,,,,,,
2020-08-14,"$2,331,492.69",0.02%,839.50%,-9.25%,"$1,005,706.80",0.00%,305.26%,-0.18%,,,,,,,,,,,,,,,
2020-08-17,"$2,347,965.54",0.71%,846.14%,-8.48%,"$1,008,901.55",0.32%,306.55%,0.00%,,,,,,,,,,,,,,,
2020-08-18,"$2,338,433.61",-0.41%,842.30%,-8.93%,"$1,011,081.11",0.22%,307.43%,0.00%,,,,,,,,,,,,,,,
2020-08-19,"$2,326,187.24",-0.52%,837.37%,-9.50%,"$1,006,871.15",-0.42%,305.73%,-0.42%,,,,,,,,,,,,,,,
2020-08-20,"$2,316,496.29",-0.42%,833.46%,-9.96%,"$1,010,006.06",0.31%,306.99%,-0.11%,,,,,,,,,,,,,,,
2020-08-21,"$2,306,623.74",-0.43%,829.48%,-10.43%,"$1,013,589.03",0.35%,308.44%,0.00%,,,,,,,,,,,,,,,
2020-08-24,"$2,322,333.69",0.68%,835.81%,-9.68%,"$1,023,859.82",1.01%,312.58%,0.00%,,,,,,,,,,,,,,,
2020-08-25,"$2,324,784.01",0.11%,836.80%,-9.57%,"$1,027,442.79",0.35%,314.02%,0.00%,,,,,,,,,,,,,,,
2020-08-26,"$2,329,762.80",0.21%,838.81%,-9.33%,"$1,037,743.34",1.00%,318.17%,0.00%,,,,,,,,,,,,,,,
2020-08-27,"$2,312,499.36",-0.74%,831.85%,-10.15%,"$1,040,012.51",0.22%,319.09%,0.00%,,,,,,,,,,,,,,,
2020-08-28,"$2,308,091.00",-0.19%,830.07%,-10.36%,"$1,046,730.39",0.65%,321.79%,0.00%,,,,,,,,,,,,,,,
